name,population
Florida,22416077
33323,23589
33324,50151
33325,32399
33326,33880
33327,23203
33328,28851
33330,13699
33331,24897
33332,10920
33334,30935
33351,36364
33388,0
33401,33698
33403,14370
33404,30912
33405,19780
33406,26945
33407,34851
33408,18817
33409,33489
33410,36759
33411,76863
33412,15859
33413,18668
33414,60184
33415,54581
33417,38079
33418,43676
33426,24255
33428,47588
33430,19796
33431,24608
33432,21834
33433,47005
33434,21686
33435,37833
33436,48743
33437,37229
33438,257
33440,20855
33441,30153
33442,31296
33444,22737
33445,33122
33446,28431
33449,8766
33455,20018
33458,55512
33460,37795
33461,49443
33462,33371
33463,65478
33467,58411
33469,14686
33470,35610
33471,7086
33472,18885
33473,11825
33476,7413
33477,12908
33478,14731
33480,10924
33483,12669
33484,26208
33486,23232
33487,20717
33493,5158
33496,26579
33498,16853
33503,891
33510,30578
33511,62138
33513,14289
33514,2366
33521,634
33523,19435
33525,21077
33527,17364
33530,20
33534,17740
33538,6132
33540,11390
33541,24654
33542,23612
33543,40648
33544,29901
33545,30222
33547,31431
33548,8967
33549,18178
33550,0
33556,35755
33558,33165
33559,18831
33563,25896
33565,18108
33566,24521
33567,12562
33569,27867
33570,33319
33572,26495
33573,35362
33574,1822
33576,6273
33578,60651
33579,49470
33584,28579
33585,1763
33592,12333
33594,37361
33596,27757
33597,10864
33598,32820
33602,21452
33603,19869
33604,40055
33605,16030
33606,24570
33607,25291
33609,18535
33610,46587
33611,36810
33612,49005
33613,37591
33614,47298
33615,47245
33616,15830
33617,47851
33618,27771
33619,41396
33620,7298
33621,2393
33624,41346
33625,29967
33626,30575
33629,27710
33634,21862
33635,19134
33637,17658
33647,74844
33701,18823
33702,31294
33703,25264
33704,16232
33705,27939
33706,15298
33707,24324
33708,15060
33709,25050
33710,33796
33711,20013
33712,27142
33713,31729
33714,19227
33715,8032
33716,19328
33744,59
33755,27476
33756,32201
33759,17557
33760,20501
33761,18290
33762,5063
33763,21146
33764,27311
33765,13808
33767,8081
33770,25368
33771,27596
33772,23733
33773,16741
33774,19799
33776,12556
33777,18582
33778,16807
33781,28072
33782,22461
33785,4907
33786,1582
33801,35394
33803,29321
33805,28751
33809,30797
33810,55137
33811,29472
33812,16169
33813,38674
33815,13975
33823,41779
33825,25501
33827,2431
33830,33740
33834,6188
33835,115
33837,47389
33838,5688
33839,4561
33840,0
33841,8005
33843,11220
33844,51255
33847,442
33848,638
33849,851
33850,9757
33851,1212
33852,22600
33853,12674
33854,781
33855,15
33856,394
33857,756
33858,653
33859,11824
33860,24892
33865,488
33867,43
33868,13827
33870,25195
33872,13746
33873,13935
33875,11856
33876,6816
33877,159
33880,43371
33881,40808
33884,37561
33890,5197
33896,26731
33897,30159
33898,18527
33901,24481
33903,23655
33904,33599
33905,41381
33907,25033
33908,37423
33909,40231
33912,19533
33913,31538
33914,45540
33916,27943
33917,33380
33919,30412
33920,9062
33921,391
33922,4226
33924,109
