"Table 5.1  Age-Adjusted Incidence Rates (1) by County, Florida, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Cancers,,,,,,,Lung & Bronchus,,,,,,,Prostate,,,,,,,Breast,,,,,,Colorectal,,,,,,,,Bladder,,,,,Head & Neck,,,,,,,Non-Hodgkin,,,,,Melanoma,,,,,,,Ovary,,,,,Cervix,,,,,
,Rate,CI,,,,,,Rate,,CI,,,,,Rate,CI,,,,,,Rate,,,CI,,,Rate,,,CI,,,,,Rate,CI,,,,Rate,,,CI,,,,Rate,,CI,,,Rate,,CI,,,,,Rate,CI,,,,Rate,,CI,,,
Flagler,568.4,535.8,,603.5,,,,61.0,,51.5,,,73.3,,126.3,108.4,,,149.3,,,118.6,,,96.9,146.3,,34.2,,,26.6,,44.8,,,23.8,18.2,32.5,,,21.2,,,15.9,,29.6,,30.3,,23.0,40.6,,52.4,,42.7,,,65.9,,8.3,3.7,,21.0,,^,,^,,^,
Franklin,346.2,269.0,,452.4,,,,^,,^,,,^,,105.9,54.3,,,222.7,,,146.9,,,74.8,297.2,,^,,,^,,^,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Gadsden,563.7,504.2,,630.2,,,,56.6,,40.0,,,80.6,,192.0,146.1,,,253.0,,,141.7,,,103.1,194.4,,52.0,,,34.5,,77.4,,,18.0,8.8,35.8,,,21.5,,,11.0,,40.5,,25.3,,13.5,45.6,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Gilchrist,472.3,393.2,,567.0,,,,66.5,,40.9,,,109.2,,111.1,63.7,,,193.3,,,110.0,,,57.6,202.3,,^,,,^,,^,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Glades,397.5,311.3,,521.3,,,,38.2,,18.2,,,109.8,,^,^,,,^,,,^,,,^,^,,^,,,^,,^,,,^,^,^,,,^,,,^,,^,,^,,^,^,,88.2,,51.5,,,204.7,,^,^,,^,,^,,^,,^,
Gulf,477.5,393.0,,583.1,,,,68.5,,41.9,,,119.3,,^,^,,,^,,,186.1,,,107.7,320.7,,^,,,^,,^,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Hamilton,479.1,381.6,,600.7,,,,88.3,,52.4,,,150.3,,112.2,57.7,,,221.2,,,^,,,^,^,,62.0,,,29.7,,123.2,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Hardee,503.6,425.0,,595.2,,,,40.8,,21.7,,,74.2,,102.5,58.1,,,173.2,,,120.2,,,67.1,207.0,,48.1,,,26.5,,84.0,,,^,^,^,,,^,,,^,,^,,43.8,,22.0,81.0,,40.3,,19.7,,,77.8,,^,^,,^,,^,,^,,^,
Hendry,546.9,478.9,,622.5,,,,69.5,,47.0,,,100.0,,86.5,52.6,,,136.2,,,114.8,,,72.7,175.7,,64.7,,,42.4,,95.4,,,^,^,^,,,30.5,,,16.6,,52.8,,27.7,,14.2,49.6,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Hernando,584.5,557.1,,613.4,,,,73.2,,64.7,,,83.2,,120.0,104.3,,,138.7,,,154.3,,,133.5,178.4,,35.7,,,29.0,,44.0,,,19.0,14.7,25.0,,,20.0,,,15.4,,26.3,,28.5,,22.6,36.1,,39.4,,32.1,,,48.7,,15.3,9.3,,25.1,,10.3,,5.2,,19.6,
Highlands,442.7,408.9,,479.8,,,,47.3,,38.1,,,59.8,,71.1,55.8,,,93.1,,,140.4,,,111.5,176.9,,28.7,,,21.3,,39.7,,,20.0,15.1,28.4,,,12.1,,,7.4,,20.7,,23.9,,15.9,35.9,,34.5,,23.7,,,50.7,,16.2,8.9,,31.9,,^,,^,,^,
Hillsborough,511.6,501.0,,522.3,,,,55.0,,51.6,,,58.5,,134.7,127.1,,,142.8,,,137.9,,,130.3,145.9,,42.3,,,39.3,,45.6,,,18.0,16.1,20.1,,,19.0,,,17.1,,21.2,,21.4,,19.3,23.7,,35.3,,32.2,,,38.6,,10.0,8.0,,12.4,,9.8,,7.7,,12.2,
